trial_num,word,dimension,filename,opponent,stage,balance
131,hang,_same_state,nulmut_same_state.mp4,frabble,experiment,
132,tear,_diff_obj,pulact_diff_obj.mp4,tuffer,experiment,
133,tear,_diff_proc,pulact_diff_proc.mp4,muffer,experiment,
134,tear,_diff_state,pulact_diff_state.mp4,crindle,experiment,
135,tear,_same_obj,pulact_same_obj.mp4,bramble,experiment,
136,tear,_same_proc,pulact_same_proc.mp4,fibble,experiment,
137,tear,_same_state,pulact_same_state.mp4,dimmer,experiment,
138,burrow,_diff_obj,traimin_diff_obj.mp4,nomble,experiment,
139,burrow,_diff_proc,traimin_diff_proc.mp4,dimmer,experiment,
140,burrow,_diff_state,traimin_diff_state.mp4,crabble,experiment,
141,burrow,_same_obj,traimin_same_obj.mp4,fibble,experiment,
142,burrow,_same_proc,traimin_same_proc.mp4,nocket,experiment,
